NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
1,0,2,0,32,0,3,0,20,0,0,0,0,0,0
2,0,3,0,39,0,3,0,16,0,0,0,0,2,0
2,0,3,0,26,0,4,0,14,0,0,0,0,0,0
2,8,3,0,81,0,5,4,19,4,0,0,0,0,0
2,7,3,0,100,0,5,0,19,0,0,0,0,0,0
2,9,3,0,36,0,2,0,11,0,0,0,0,2,0
3,12,4,0,118,0,6,13,23,13,0,0,0,0,0
2,0,3,0,47,0,4,1,16,1,0,0,0,0,0
1,0,2,0,14,0,2,0,13,0,0,0,0,0,0
4,1,5,0,56,0,5,0,18,0,0,0,0,2,0
1,0,2,0,36,0,5,1,6,1,0,0,0,0,0
1,0,2,0,10,0,2,0,9,0,0,0,0,0,0
1,17,2,0,53,0,5,0,18,0,0,0,0,0,0
2,6,3,0,54,34,3,0,8,0,1,0,0,1,0
1,7,2,0,28,15,2,0,11,0,2,0,0,0,0
1,5,2,0,58,0,3,4,8,4,0,0,0,0,0
2,2,3,0,57,0,5,1,15,1,0,0,0,1,0
2,1,3,0,39,0,3,2,13,2,0,0,0,0,0
2,4,3,0,28,0,2,0,11,0,0,0,0,1,0
2,6,3,0,61,0,7,3,14,3,0,0,0,0,0
2,3,3,0,31,0,4,0,16,0,0,0,0,0,0
3,0,4,0,28,0,3,1,18,1,0,0,0,0,0
1,18,2,0,82,0,6,5,9,5,0,0,0,0,0
2,0,3,0,12,0,2,0,11,0,0,0,0,0,0
2,2,3,0,49,9,3,1,20,1,1,0,0,0,0
2,0,3,0,63,0,5,1,15,1,0,0,0,2,0
3,3,4,0,35,0,3,0,10,0,0,0,0,2,0
1,14,2,0,93,0,4,11,8,11,0,0,0,0,0
2,1,3,0,99,0,3,11,15,11,0,0,0,0,0
1,0,2,0,15,0,2,0,14,0,0,0,0,0,0
