NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,22,0,0,0,1,1,1,0
2,3,2,76,0,0,0,0,0,0,3,3,0,4,0,0,,0,11,14,50,0,0,1,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,1,0,0,,0,11,6,13,0,0,1,1,1,0
4,3,3,92,1,0,0,0,0,0,4,6,0,12,0,0,,0,11,14,66,0,0,1,1,1,0
2,3,4,43,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,30,0,0,0,1,1,1,0
1,2,3,28,1,1,0,0,0,0,0,0,0,0,0,0,,0,12,16,0,0,0,1,1,1,0
1,2,3,26,1,1,0,0,0,1,0,0,0,2,0,0,,0,10,16,0,0,0,1,1,1,0
2,3,3,51,0,0,0,0,3,0,0,0,0,0,0,0,,0,16,35,0,0,0,1,1,1,0
2,3,4,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,21,0,0,0,1,1,1,0
1,2,5,51,1,1,0,0,0,0,0,0,0,6,0,0,,0,14,37,0,0,0,1,1,1,0
